edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
XPO4,0.027113132,8.137384079,400.0392658,2.58E-42,9.10E-42,5
OXLD1,0.028885277,8.308471607,333.8294745,1.79E-65,7.97E-65,5
JOSD2,0.030252084,8.40326238,378.9916426,2.52E-79,1.27E-78,5
ZNF524,0.024827034,8.346832764,255.7511671,1.55E-45,5.69E-45,5
ZNF217,0.036470085,8.234553005,516.2668814,1.93E-90,1.07E-89,5
KLK1,0.019657775,8.436912227,107.2493492,4.60E-25,1.31E-24,5
SLC25A10,0.029039643,8.226764533,347.3470865,1.33E-55,5.37E-55,5
COMTD1,0.026172911,8.635079779,306.8796286,3.72E-68,1.69E-67,5
DDX10,0.038039454,8.189348212,637.7077187,1.66E-90,9.16E-90,5
WDR24,0.008637479,8.207488055,28.35087799,1.31E-05,2.61E-05,5
LINC01315,0.022750082,8.174926576,219.239395,6.97E-29,2.09E-28,5
SPAG7,0.038013527,8.33667234,593.3435091,5.44E-105,3.37E-104,5
UCP2,0.019164109,8.185692408,141.3269397,4.92E-21,1.33E-20,5
PQLC1,0.029395494,8.164929233,395.3580982,1.74E-46,6.42E-46,5
DNAAF5,0.031624018,8.160584161,486.0021486,8.31E-58,3.42E-57,5
PIK3R1,0.028026432,8.177895015,342.4255992,2.22E-56,9.04E-56,5
ZNHIT2,0.029998461,8.176509493,407.7601954,3.77E-53,1.48E-52,5
ZNF414,0.021790504,8.166502287,217.2107484,2.75E-28,8.17E-28,5
TAF2,0.031902771,8.152928713,519.0382816,1.22E-60,5.16E-60,5
CHCHD10,0.03027543,9.506138607,492.4845155,1.05E-107,6.63E-107,5
RARRES2,0.02989001,8.248643735,259.4723557,5.55E-58,2.29E-57,5
ENDOG,0.032456824,8.211084954,444.3099816,9.38E-68,4.26E-67,5
UGT2B17,0.011818239,8.112062271,88.72338938,8.87E-13,2.11E-12,5
SDHAF1,0.032171299,8.187872152,465.3343274,2.58E-63,1.12E-62,5
MT1E,0.030483941,8.773401899,201.1258861,2.05E-45,7.50E-45,5
HSD17B8,0.025822512,8.182058657,289.2538468,1.52E-38,5.11E-38,5
ATP5ME,0.000713269,8.420769996,0.67223871,0.412282758,0.493100624,5
A1CF,0.030295696,8.141395074,481.3314587,1.43E-58,5.96E-58,5
HCFC1,0.035004093,8.203051677,526.2582037,2.73E-74,1.32E-73,5
DNAJC13,0.031684455,8.120887569,661.9692677,1.95E-63,8.51E-63,5
KIF13A,0.031927506,8.156689907,489.7853744,5.87E-58,2.42E-57,5
XPA,0.03562695,8.210571395,525.5723995,1.28E-77,6.32E-77,5
MZT2B,0.039127135,9.490105628,930.7618957,1.75E-199,2.09E-198,5
PSMG4,0.032057732,8.326544013,411.3743331,7.65E-80,3.87E-79,5
GNL2,0.042302858,8.229143198,741.2784914,1.86E-116,1.25E-115,5
ALKBH7,0.027831065,9.054672228,452.5012644,3.19E-99,1.89E-98,5
LSM7,0.041471299,9.538147289,1094.663733,2.94E-233,4.44E-232,5
SLC35A4,0.032514885,8.167975494,498.0990539,4.02E-61,1.71E-60,5
RABL6,0.037416575,8.479627303,597.125696,8.09E-130,6.01E-129,5
SUPT6H,0.033153193,8.191913613,482.8051585,4.18E-66,1.87E-65,5
CENPB,0.031034361,8.218353203,386.3287757,2.60E-58,1.08E-57,5
GIPC2,0.031724153,8.175089372,447.0109971,7.40E-60,3.11E-59,5
HIST1H2BB,-0.029522802,8.095974376,934.439178,8.84E-71,4.12E-70,7
HIST1H3C,-0.028628267,8.083717899,1283.490133,2.81E-72,1.33E-71,7
MLXIPL,0.012495843,8.22467211,56.07840224,3.60E-09,8.00E-09,7
HAGHL,0.015549086,8.183834207,91.01449093,5.46E-13,1.31E-12,7
ACTR3C,0.012998763,8.09490283,158.8207255,1.82E-12,4.31E-12,7
PGAM5,0.029887312,8.150696999,445.9378412,3.89E-49,1.47E-48,7
UBR3,0.026488569,8.134924912,390.2955256,1.16E-39,3.98E-39,7
AP1B1,0.039217053,8.188997731,682.6519854,8.92E-93,5.02E-92,7
CPNE7,0.004730404,8.173193447,8.476706618,0.050854391,0.076850765,7
TAF4B,0.003200812,8.11232116,4.973829601,0.251872786,0.323327731,7
RPL18,0.037951521,12.40574855,850.4494369,7.93E-183,8.52E-182,7
DNMT1,0.031841842,8.223679157,395.9660017,7.70E-67,3.47E-66,7
AC103702.2,-0.016513699,8.237840218,88.90053693,4.63E-21,1.25E-20,7
CDK18,0.020322517,8.131803114,229.7917462,3.44E-24,9.72E-24,7
RPS14,0.037735352,13.11422223,798.4019728,5.39E-172,5.38E-171,7
ATAD3A,0.036770304,8.221723296,550.5913248,3.06E-82,1.58E-81,7
ACSF3,0.029454157,8.190196641,366.8155498,3.34E-52,1.30E-51,7
LAMB1,0.020256717,8.151953619,191.9107715,8.01E-24,2.26E-23,7
TRRAP,0.023557142,8.131425407,316.2410502,1.15E-32,3.61E-32,7
PIM2,0.02319392,8.149999345,264.5455212,5.98E-31,1.84E-30,7
IKBKE,0.022870716,8.148345489,259.3525619,1.00E-30,3.09E-30,7
GRHL2,0.022966985,8.12148597,333.0774865,1.17E-32,3.67E-32,7
ETNK1,0.043000172,8.35729892,746.4884025,2.64E-145,2.20E-144,7
HTT,0.029050377,8.156203686,414.8085517,8.69E-50,3.31E-49,7
TCTA,0.020556739,8.168638677,198.5165258,3.26E-28,9.70E-28,7
PAXIP1-AS1,0.025244608,8.210463424,265.3626227,2.45E-38,8.23E-38,7
ANKRD37,0.039276284,8.421370577,405.2634078,3.56E-89,1.94E-88,7
PER2,0.029423596,8.235747574,317.2283003,1.40E-50,5.39E-50,7
SPIDR,0.021616078,8.143615562,241.9537265,4.28E-27,1.26E-26,7
GK,0.030261949,8.168854492,380.5654732,3.06E-55,1.23E-54,7
FBXL6,0.036577935,8.23710001,491.2540633,1.71E-89,9.34E-89,7
EIF2D,0.025920059,8.203471636,275.5729693,3.52E-36,1.15E-35,7
PRR7,0.029332565,8.330824397,326.7835497,1.47E-55,5.91E-55,7
RPS2,0.040676509,13.66221843,871.6664385,3.10E-187,3.43E-186,7
CDHR2,0.027134445,8.126529492,411.9098727,1.34E-45,4.91E-45,7
IMMP2L,0.02574459,8.199530515,270.4926961,6.43E-37,2.12E-36,7
PATJ,0.022002195,8.103979034,407.5307789,5.43E-41,1.88E-40,7
SAPCD2,0.032905982,8.181318236,446.4147917,2.59E-60,1.10E-59,7
NOP14,0.029082689,8.186273517,368.2588879,5.36E-50,2.05E-49,7
DNAJC4,0.0229259,8.285942802,203.3134342,1.32E-30,4.06E-30,7
GRK6,0.031049716,8.167602859,442.2865235,1.73E-53,6.85E-53,7
PPARA,0.033718307,8.190373159,485.8756007,1.87E-68,8.55E-68,7
TNS3,0.035872712,8.1718268,585.2662879,1.86E-75,9.05E-75,7
PGGHG,-0.009110949,8.108686997,61.67981536,1.95E-07,4.13E-07,7
LRIG1,0.019563319,8.118752906,235.4621696,4.19E-22,1.15E-21,7
LARP4,0.044517162,8.212964772,851.8510783,7.35E-127,5.35E-126,7
GPA33,0.047034719,8.307598113,714.8047343,1.56E-154,1.39E-153,7
EMP3,0.018737812,8.288328075,92.97111606,5.98E-22,1.64E-21,7
HIST1H2AM,-0.017198194,8.07314536,741.6638722,3.30E-32,1.03E-31,7
AC245014.3,-0.016048995,8.080036593,445.9623697,2.85E-25,8.17E-25,7
CST1,-0.021945273,8.110540077,306.1897569,1.15E-36,3.79E-36,7
SMG5,0.02989853,8.177208626,406.4018138,2.61E-53,1.03E-52,7
HNRNPU,0.049367028,8.969035319,1611.242311,0,0,7
ADAM15,0.042576229,8.393926098,699.796892,3.17E-141,2.56E-140,7
GUCY2C,0.031777653,8.174133234,435.0814042,7.48E-58,3.08E-57,7
FGD4,0.035355984,8.163490171,592.8075637,4.85E-75,2.35E-74,7
PTPN18,0.03215963,8.238567678,421.0188266,1.09E-66,4.91E-66,7
NKD2,0.026727205,8.172996656,302.4056188,2.80E-42,9.87E-42,7
TRMT61A,0.031318328,8.190627333,425.9172445,2.13E-59,8.94E-59,7
ANPEP,0.020625658,8.162071123,162.9978176,1.06E-33,3.37E-33,7
GORASP1,0.03244993,8.127493189,652.8218452,1.05E-64,4.61E-64,7
RPS6,0.035389445,13.16867321,621.348938,6.42E-135,4.95E-134,7
DGCR6L,0.028646854,8.364367174,327.4524524,3.09E-53,1.22E-52,7
SCRIB,0.02807864,8.237205269,318.6904166,2.85E-49,1.08E-48,7
SMIM10L1,0.031143387,8.262000857,400.4556475,1.91E-66,8.57E-66,7
CEBPD,0.039796687,9.04467985,622.19093,4.27E-135,3.30E-134,7
FDXR,0.020943707,8.16509511,192.5904281,5.05E-23,1.41E-22,7
FAM171A1,0.027598634,8.145067762,382.1977778,9.13E-42,3.19E-41,7
C6orf48,0.019281899,9.237771732,160.7706256,1.09E-36,3.59E-36,7
IFT88,0.024729511,8.131543134,360.0258861,1.43E-39,4.89E-39,7
PELP1,0.023611155,8.145164557,290.7112113,5.86E-33,1.85E-32,7
KAT8,0.032317564,8.166172707,500.8949845,1.26E-63,5.50E-63,7
GIT1,0.028960534,8.172192863,373.4338368,1.51E-45,5.51E-45,7
CHD8,0.029012686,8.145022839,444.7109171,5.14E-51,1.98E-50,7
ZNF195,0.033508556,8.162920703,534.8121555,1.38E-65,6.13E-65,7
CRYBG1,0.001987077,8.096057577,4.81823149,0.138720953,0.190962986,7
VPS36,0.039556905,8.359917979,639.2588266,1.10E-138,8.73E-138,7
TBRG1,0.038081399,8.238879231,598.4519469,3.26E-97,1.90E-96,7
ZBTB10,0.020101321,8.221804416,154.8536681,4.83E-26,1.40E-25,7
ELFN1-AS1,0.009880092,8.246649766,32.11355981,3.54E-06,7.23E-06,7
EPB41,0.024274597,8.157568121,282.6010335,2.21E-34,7.08E-34,7
PLXNA1,0.025606694,8.124569758,394.8610624,1.03E-38,3.47E-38,7
NAA16,0.028605172,8.131192855,475.4185996,2.21E-50,8.46E-50,7
MTHFD1,0.033110662,8.17398877,502.346428,2.30E-66,1.03E-65,7
RBM15B,0.037152272,8.20823629,587.008894,4.13E-80,2.10E-79,7
RPS13,0.032773034,12.09568567,566.0625542,2.87E-123,2.04E-122,7
CDCA7L,0.024629953,8.194214062,240.9791115,1.94E-32,6.10E-32,7
RPS23,0.027868857,12.52679166,429.4678707,2.51E-94,1.43E-93,7
ZFAS1,0.025693418,10.79921667,282.1002784,7.66E-63,3.32E-62,7
DHX30,0.031204559,8.263043972,406.0323317,4.40E-67,1.99E-66,7
SCIN,0.019494503,8.107981219,285.879342,1.33E-28,3.98E-28,7
ING5,0.012470394,8.143676138,82.79252497,7.63E-11,1.76E-10,7
SATB2,0.030361685,8.228659504,340.1429609,1.57E-60,6.67E-60,7
RABEP1,0.026401974,8.170926345,318.4200198,1.35E-39,4.61E-39,7
PIGR,0.040700847,10.26427516,300.6863167,7.90E-67,3.56E-66,7
GPRIN3,0.008368369,8.108307819,45.47554025,8.07E-05,0.000155968,7
OPLAH,0.018254282,8.12544582,206.0576744,2.00E-22,5.51E-22,7
PDK2,0.028499551,8.173099381,361.4560027,1.37E-45,5.02E-45,7
ANKRA2,0.024379301,8.14593391,306.4778886,5.44E-35,1.75E-34,7
TRIM28,0.038835214,8.497078605,662.9275094,1.17E-143,9.66E-143,7
IQCE,0.032015527,8.181045423,462.8632768,1.75E-61,7.49E-61,7
BTBD2,0.021466416,8.201279073,192.077709,2.12E-26,6.16E-26,7
RPLP1,0.034163545,13.65228279,655.7448072,3.77E-142,3.07E-141,7
MACROD1,0.026267259,8.51472096,282.0798447,1.15E-53,4.53E-53,7
ANKRD17,0.042014276,8.306289177,683.2393772,8.06E-132,6.07E-131,7
SUPV3L1,0.03006793,8.145483708,481.9246987,6.21E-55,2.49E-54,7
MTRNR2L12,-0.089480725,10.65259391,920.73702,2.08E-197,2.45E-196,7
RPS5,0.031914292,12.29169038,533.8335522,1.85E-116,1.24E-115,7
SETD2,0.029406324,8.212616123,362.7155483,4.01E-57,1.64E-56,7
HIST3H2A,0.025165466,8.455029704,227.2375651,3.76E-49,1.42E-48,7
SLC12A9,0.035779749,8.231028892,522.1454026,3.74E-79,1.88E-78,7
AXIN1,0.031025111,8.19513783,414.2879585,3.44E-54,1.37E-53,7
RPL11,0.034335622,12.71262565,739.2493053,1.20E-159,1.11E-158,7
C19orf48,0.022980806,8.562593891,203.7197539,9.68E-38,3.23E-37,7
PSD3,0.025751377,8.119021377,421.2849196,1.23E-41,4.28E-41,7
MXD4,0.032919556,8.237206479,424.3466942,1.02E-65,4.56E-65,7
CLASP2,0.021344965,8.11429985,316.8816973,6.17E-29,1.85E-28,7
BICDL2,0.017670859,8.143344624,167.0837594,2.19E-29,6.59E-29,7
GK5,0.029874859,8.176200939,402.628821,6.09E-56,2.46E-55,7
RASL11A,0.007154422,8.117580326,34.30602107,3.23E-05,6.36E-05,7
ANGPTL4,-0.004218318,8.207118525,7.010241814,0.008111356,0.013652876,7
AC020911.2,-0.01461565,8.071597035,604.9570634,2.08E-26,6.05E-26,7
HIST1H2AL,-0.013236481,8.071206205,516.5676991,2.65E-22,7.30E-22,7
FBXO9,0.030737459,8.189912232,415.661717,3.50E-57,1.43E-56,7
CBFA2T2,0.030357308,8.173216509,416.3083067,1.77E-52,6.91E-52,7
UGDH,0.041237196,8.353548107,629.1687582,1.45E-136,1.13E-135,7
SNHG7,0.024618814,9.035977288,236.7771349,4.24E-53,1.67E-52,7
CBLC,0.034636696,8.357042737,475.3067223,1.07E-96,6.24E-96,7
LMNB2,0.031918539,8.190661112,431.7039412,2.97E-58,1.23E-57,7
VWA8,0.021802839,8.109735065,348.0814941,2.60E-30,7.93E-30,7
INTS8,0.036555027,8.160077219,659.517283,3.26E-81,1.67E-80,7
GCH1,0.022963167,8.160950945,240.4760785,1.72E-28,5.12E-28,7
KITLG,0.014958525,8.102459389,179.3989271,1.36E-15,3.40E-15,7
HULC,-0.002953468,8.285030945,3.70515622,0.054259934,0.081623253,7
XPO5,0.028559172,8.134923384,460.5780661,7.62E-48,2.85E-47,7
SORBS3,0.029614619,8.1592113,419.7316275,1.28E-51,4.95E-51,7
GATAD1,0.04119659,8.254406615,690.8517627,3.37E-110,2.17E-109,7
NEK3,0.039681526,8.198959209,661.5783579,2.95E-99,1.75E-98,7
MTFR1L,0.032265299,8.155010356,518.1060464,5.63E-60,2.38E-59,7
EXD3,0.02346885,8.152597638,267.6471121,1.29E-30,3.94E-30,7
TBCD,0.027154036,8.15209937,363.6838092,1.03E-41,3.61E-41,7
WNK2,0.016456355,8.196810027,101.3049395,6.47E-13,1.54E-12,7
TTC17,0.037721725,8.295556968,579.7860748,2.24E-96,1.30E-95,7
ERN1,0.033314122,8.208366793,429.6798009,4.25E-64,1.86E-63,7
LRRK1,0.017337099,8.110645698,207.967507,2.53E-18,6.62E-18,7
GAA,0.02385292,8.16447994,250.531584,2.24E-30,6.83E-30,7
CAMK1D,0.026080689,8.153006746,302.9457573,5.44E-36,1.78E-35,7
ABHD17A,0.037084955,8.238807744,561.5573268,9.10E-86,4.82E-85,7
RPS3,0.04358585,13.10379477,807.7652631,6.03E-174,6.10E-173,7
MUC12,0.036366886,8.661277016,410.75654,2.41E-90,1.33E-89,7
PNP,0.046578617,8.33286439,827.0259482,7.21E-177,7.47E-176,7
MUC20-OT1,0.009972906,8.099287228,94.3881428,1.70E-10,3.88E-10,7
EPHX2,0.022991082,8.181360322,212.7315436,1.75E-29,5.28E-29,7
MTA1,0.027052438,8.246156346,289.8605008,2.39E-41,8.33E-41,7
RAP1GAP2,0.027635151,8.129280949,429.5427952,9.56E-42,3.34E-41,7
AGL,0.028337791,8.123091089,486.5545338,5.53E-46,2.03E-45,7
LRP4,0.012178044,8.111458785,84.90903479,3.63E-08,7.86E-08,7
DOPEY2,0.028896903,8.14972288,414.6782082,6.14E-47,2.28E-46,7
GPHN,0.013761338,8.111629659,125.482206,1.65E-11,3.85E-11,7
NFKBIZ,0.03641585,8.54017633,450.7710398,7.43E-99,4.39E-98,7
JPH1,0.029895774,8.163732272,406.1180194,8.90E-49,3.36E-48,7
RPL10,0.043614977,13.60843682,795.1186154,2.60E-171,2.59E-170,7
CHDH,0.038543279,8.2089114,610.8279061,3.07E-93,1.74E-92,7
HIST1H3J,-0.012967029,8.075833629,374.8478004,1.64E-19,4.35E-19,7
KIAA1324,0.019806759,8.150840773,160.8020291,2.06E-18,5.39E-18,7
MGA,0.028987062,8.119981891,546.8287864,9.62E-51,3.69E-50,7
SF3A2,0.032198426,8.273198704,417.3058385,2.44E-66,1.09E-65,7
RC3H1,0.031369852,8.205394485,402.1875251,1.56E-61,6.68E-61,7
SH3D19,0.038461186,8.279594797,583.0372241,4.84E-101,2.91E-100,7
TNFSF9,0.010490009,8.18309328,37.02894903,9.92E-06,1.99E-05,7
TRAPPC9,0.019811174,8.123016051,236.5116528,4.04E-23,1.13E-22,7
SLC7A5,0.038923458,8.381416982,514.9948427,1.79E-112,1.17E-111,7
POM121,0.032736422,8.192709646,453.2565331,3.55E-59,1.49E-58,7
CBR3,0.007928405,8.119183947,32.3018733,0.00049865,0.000922303,7
TBC1D16,0.023378011,8.134616626,294.4419101,2.56E-30,7.82E-30,7
KMT5A,0.031817142,8.168673614,462.6784367,1.33E-57,5.47E-57,7
LINC02432,-0.005872495,8.077657741,72.50699772,1.69E-05,3.37E-05,7
TUT4,0.005932505,8.076559616,74.8285347,1.21E-05,2.42E-05,7
TNFRSF10D,0.001893366,8.118904631,1.834082825,0.412736823,0.49353044,7
WASHC1,0.000407007,8.094918362,0.327895983,0.659065676,0.723367934,7
NSD2,0.007619562,8.08429187,85.97533921,2.33E-07,4.94E-07,7
ZC3H7B,0.0281092,8.144002008,407.5021163,6.96E-43,2.47E-42,7
AFF1,0.03064229,8.133462953,533.1331636,2.86E-56,1.16E-55,7
CNKSR3,0.029687255,8.148368125,424.9320617,1.84E-50,7.06E-50,7
MAN2A1,0.036993411,8.191864715,587.0211001,5.82E-80,2.95E-79,7
AFG3L2,0.041135823,8.269536764,664.9823718,3.36E-114,2.22E-113,7
CCND2,0.041913579,8.567219143,514.901104,1.87E-112,1.22E-111,7
TMEM168,0.030489963,8.146677515,480.5392767,9.48E-55,3.79E-54,7
TNRC18,0.038609653,8.247362463,577.2071324,6.81E-97,3.96E-96,7
CUX1,0.036859595,8.390857567,556.2843663,1.05E-102,6.37E-102,7
RPL3,0.052168943,12.75527375,1185.986446,5.96E-252,1.02E-250,7
RPL9,0.047267849,12.04566935,1060.347546,3.28E-226,4.73E-225,7
ELMSAN1,0.037083914,8.208450524,542.1876383,9.42E-78,4.68E-77,7
RPS3A,0.042569331,12.55111931,785.4907724,2.65E-169,2.60E-168,7
RPL6,0.044757598,12.02051489,1017.763907,1.90E-217,2.56E-216,7
FBL,0.041184354,9.18077144,789.6268459,3.63E-170,3.59E-169,7
FAF1,0.032485302,8.18416641,461.6080096,7.03E-59,2.93E-58,7
RBBP6,0.040494229,8.516462074,685.7860244,1.87E-148,1.60E-147,7
NARF,0.037580664,8.343856563,531.8785432,7.55E-102,4.56E-101,7
MFSD14C,0.014639583,8.093368106,218.2852785,3.77E-17,9.66E-17,7
EPB41L5,0.03391368,8.186940183,490.0082386,3.91E-66,1.75E-65,7
GPR35,0.038613773,8.373638119,610.0376435,1.23E-116,8.29E-116,7
GLUD1,0.047783421,8.398432425,894.5330395,5.59E-192,6.38E-191,7
RPS4X,0.045492662,12.93511845,874.2589173,8.99E-188,9.97E-187,7
RPLP0,0.044410794,12.36010832,935.3259924,1.99E-200,2.39E-199,7
SLC19A2,0.018397084,8.122069908,206.0735974,7.48E-21,2.02E-20,7
NUAK2,0.020533158,8.14324633,203.7934294,4.99E-26,1.44E-25,7
MUC5B,0.037499678,8.30796519,356.3981368,9.45E-79,4.73E-78,7
POLR2J3.1,0.022181891,8.091291599,546.9519694,7.84E-46,2.88E-45,7
IRAK4,0.02403764,8.125252923,352.5514743,2.05E-35,6.63E-35,7
ZNF121,0.036372963,8.210289644,547.8237662,2.15E-77,1.06E-76,7
ATP2A3,0.011671113,8.121228234,86.23577973,2.41E-10,5.50E-10,6
EPHB3,0.032645177,8.266625539,346.3472417,2.59E-74,1.25E-73,6
CDCA7,0.028355943,8.336336986,275.2411455,7.24E-60,3.05E-59,6
ARHGAP26,0.027379272,8.206022637,303.1087032,4.11E-48,1.54E-47,6
PADI2,0.016076609,8.131222165,127.4693819,7.26E-15,1.80E-14,6
CNST,0.02390232,8.125004572,347.8956405,1.53E-34,4.92E-34,6
RBM33,0.03132043,8.278212725,401.5692305,3.31E-70,1.54E-69,6
DNAJC11,0.022516571,8.133989534,290.4259512,1.24E-31,3.84E-31,6
SLC4A7,0.025656595,8.141523375,345.03256,7.19E-39,2.43E-38,6
ABCA5,0.024689872,8.130782579,339.7298156,2.64E-36,8.64E-36,6
SNHG8,0.026317279,9.370079191,379.8312784,9.39E-84,4.91E-83,6
WDR73,0.031458676,8.16576916,472.3210619,4.35E-61,1.85E-60,6
MYO7B,0.015336117,8.20394313,97.11103542,9.64E-17,2.46E-16,6
HOXA11-AS,0.017915327,8.187212736,130.0911615,5.13E-19,1.35E-18,6
TRNT1,0.028537623,8.140530444,448.945899,3.37E-50,1.29E-49,6
NOTCH1,0.01967324,8.183150027,160.6361787,3.32E-21,9.02E-21,6
ARAF,0.036241995,8.223106491,555.7800753,1.65E-80,8.38E-80,6
NR4A2,0.023682236,8.499209244,161.8063563,6.51E-37,2.15E-36,6
YBEY,0.022208282,8.250157259,182.7494105,3.77E-29,1.13E-28,6
GGT7,0.022460791,8.134160892,273.0960426,2.77E-28,8.24E-28,6
MYO10,0.04653416,8.380114645,881.9018959,4.02E-181,4.28E-180,6
PFKL,0.040072183,8.537495677,708.6474957,3.03E-153,2.68E-152,6
MROH6,0.030511553,8.190254492,363.9865048,3.97E-57,1.62E-56,6
KRI1,0.015745032,8.11938498,166.6095755,1.43E-17,3.68E-17,6
CD83,0.015131153,8.124717729,124.468532,8.39E-14,2.03E-13,6
DMXL1,0.020886895,8.12146339,269.2458534,1.07E-25,3.09E-25,6
ANAPC1,0.026732714,8.162850759,335.0941996,1.86E-38,6.25E-38,6
RABGGTA,0.027391433,8.150875268,380.8885549,7.86E-43,2.78E-42,6
ST6GALNAC1,0.035642944,8.274681917,413.6927322,6.31E-82,3.25E-81,6
LGALS1,0.024938101,9.386691371,117.3252125,2.94E-27,8.64E-27,6
PIAS2,0.021141674,8.134513,233.4573393,8.26E-25,2.36E-24,6
DGKZ,0.033674713,8.239831341,462.7588586,2.96E-70,1.37E-69,6
ARL16,0.036182015,8.297126199,548.0547869,9.19E-93,5.17E-92,6
RPL39,0.023707512,13.13165606,219.3820604,2.37E-49,8.99E-49,6
HIF1A,0.041882149,8.214184321,728.8986844,1.25E-108,7.99E-108,6
MYBBP1A,0.016169691,8.129329302,142.9461777,2.20E-14,5.38E-14,6
PPIL2,0.022949551,8.138359714,287.4484295,2.98E-31,9.20E-31,6
FBRSL1,0.030295045,8.192328191,399.0384246,3.25E-53,1.28E-52,6
LINC00667,0.022414579,8.155619436,248.4581606,2.12E-30,6.50E-30,6
NBEAL2,0.014257677,8.203270552,83.14926121,4.05E-14,9.87E-14,6
EEFSEC,0.01603113,8.113693611,179.8544314,5.27E-17,1.35E-16,6
ATAD5,0.006050275,8.094707658,35.04815605,0.000466811,0.000864702,6
RNF223,0.015900126,8.138583073,126.4701759,2.68E-15,6.67E-15,6
BRF1,0.016020524,8.115751997,170.8549014,2.33E-16,5.91E-16,6
ATAD2B,0.020400903,8.117633417,279.3069299,1.85E-27,5.46E-27,6
BAIAP2L2,0.021276267,8.203828364,186.8993835,1.55E-28,4.63E-28,6
RPP21,0.019176821,8.184481512,160.4764388,6.17E-22,1.69E-21,6
HIST1H2AE,0.008924525,8.185434995,32.60008723,2.23E-06,4.59E-06,6
SLC4A4,-0.003599381,8.101349657,12.65492254,0.018536175,0.029877788,6
RPL18A,0.025885186,12.90172219,371.985875,4.43E-82,2.29E-81,6
PHF3,0.033245334,8.245069033,451.7094084,3.25E-74,1.56E-73,6
KIAA1468,0.015562017,8.107968486,184.7166505,2.47E-17,6.35E-17,6
DGKQ,0.026011453,8.120114043,438.1416205,3.80E-42,1.34E-41,6
CHCHD7,0.037801019,8.548530913,638.5679076,1.53E-138,1.22E-137,6
TP53BP1,0.022129782,8.131796257,287.4857929,9.41E-32,2.93E-31,6
CCDC88C,0.018972542,8.143321166,182.595942,3.89E-20,1.04E-19,6
RPS9,0.032727529,12.29922021,599.0622751,3.16E-130,2.36E-129,6
MYL6B,0.023722487,8.323188928,209.5467451,5.01E-37,1.66E-36,6
DMXL2,0.005974981,8.094534958,33.8802291,0.000896476,0.001632399,6
POLR2A,0.011471051,8.324679331,49.59746094,1.95E-12,4.63E-12,6
SETDB2,0.01138881,8.110679467,90.82101998,2.69E-09,6.01E-09,6
MTR,0.022417411,8.127328718,299.5363495,1.02E-30,3.14E-30,6
PLEKHG6,0.033343,8.219332068,455.6770833,3.52E-70,1.63E-69,6
CRYBG3,0.012750885,8.103766339,128.969238,8.01E-12,1.88E-11,6
RPS16,0.034005206,12.48540332,673.7274348,6.34E-146,5.30E-145,6
IVNS1ABP,0.036377994,8.363736921,522.7773687,1.31E-113,8.61E-113,6
REV3L,0.015353031,8.14995489,116.7325767,4.36E-15,1.08E-14,6
SKIV2L,0.017393077,8.118722582,197.0522614,1.90E-19,5.06E-19,6
RPL22,0.029607684,11.20500478,476.7357166,2.29E-104,1.41E-103,6
OGT,0.025047119,8.319602699,241.8414295,6.76E-45,2.45E-44,6
CCHCR1,0.018881063,8.15945294,169.2484215,1.21E-21,3.31E-21,6
EGR1,0.044311782,9.323538057,743.8395445,1.32E-160,1.23E-159,6
RPL23A,0.029202432,12.43029591,446.5596448,5.83E-98,3.42E-97,6
CA12,0.029469575,8.220976473,300.2003784,1.34E-57,5.50E-57,6
TSC2,0.013368611,8.185225423,79.80468107,2.20E-12,5.21E-12,6
TRMT1,0.017262746,8.253521835,123.9209917,1.47E-21,4.00E-21,6
ZNF316,0.020246427,8.133532655,229.3407817,3.42E-24,9.68E-24,6
PKD1,0.018772542,8.140179136,190.2634668,5.07E-22,1.39E-21,6
SDR39U1,0.025015983,8.169016477,299.8030888,2.60E-39,8.83E-39,6
ZBTB1,0.020424417,8.144154978,214.3086995,1.72E-24,4.87E-24,6
GOT1,0.047000507,8.220351658,922.9275116,9.50E-145,7.89E-144,6
RPS18,0.020264125,14.21910087,248.437261,1.31E-55,5.29E-55,6
INTS1,0.025787669,8.239621711,272.0486467,3.08E-45,1.12E-44,6
ADAT2,0.01724607,8.131540837,168.4103237,1.80E-18,4.71E-18,6
CSKMT,-0.049351395,8.14180655,1387.766705,8.99E-175,9.16E-174,6
DLL4,-0.032691811,8.127022646,646.6607096,2.86E-68,1.30E-67,6
HIST1H3A,-0.039531696,8.0970353,1742.494291,3.21E-124,2.29E-123,6
RMRP,-0.024505639,8.086008942,792.1977485,1.43E-49,5.45E-49,6
HIST1H1E,-0.025333365,8.148665476,332.930895,7.34E-46,2.70E-45,6
ERN2,-0.000143138,8.225623561,0.025796605,0.872399801,0.900993438,6
DOCK1,0.014844236,8.11229451,155.9070201,4.00E-15,9.93E-15,6
ZNF26,0.023825918,8.118824032,368.2173112,7.71E-35,2.49E-34,6
PCK1,0.028366619,8.587394556,191.997877,1.92E-43,6.86E-43,6
RPL17,0.013559393,9.41805088,83.03373478,8.87E-20,2.37E-19,6
NT5C,0.034434157,8.632042495,606.2603353,9.63E-132,7.25E-131,6
QTRT1,0.020518854,8.597976656,168.2823877,2.58E-38,8.67E-38,6
