Table of FindAllMarkers Function Output: Gene Expression Differential Analysis Results,,,,,,,
,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FAM114A11,2.51E-09,0.261452185,0.328,0.22,7.86E-05,TAC_SPINK4,FAM114A1
DDX42,2.64E-09,0.330406457,0.394,0.283,8.27E-05,TAC_SPINK4,DDX42
ALG2,2.76E-09,0.332196984,0.275,0.176,8.64E-05,TAC_SPINK4,ALG2
ETFB2,2.91E-09,0.265179933,0.725,0.619,9.13E-05,TAC_SPINK4,ETFB
EIF5A,3.12E-09,0.279807582,0.716,0.605,9.79E-05,TAC_SPINK4,EIF5A
RBM25,3.45E-09,0.318154986,0.681,0.578,0.000107968,TAC_SPINK4,RBM25
C19orf48,3.62E-09,0.265189451,0.47,0.358,0.000113557,TAC_SPINK4,C19orf48
SMC31,3.68E-09,0.289601606,0.438,0.331,0.000115174,TAC_SPINK4,SMC3
ARF41,3.70E-09,0.303897564,0.683,0.586,0.000115968,TAC_SPINK4,ARF4
TM9SF2,3.86E-09,0.304119893,0.624,0.503,0.000120839,TAC_SPINK4,TM9SF2
ZKSCAN14,3.91E-09,0.263947638,0.592,0.465,0.000122611,TAC_SPINK4,ZKSCAN1
LSM4,4.31E-09,0.308761688,0.674,0.597,0.000134955,TAC_SPINK4,LSM4
ARFIP21,4.37E-09,0.259226868,0.406,0.296,0.000136868,TAC_SPINK4,ARFIP2
CCT7,4.41E-09,0.2917397,0.606,0.496,0.00013831,TAC_SPINK4,CCT7
SETD21,4.60E-09,0.313004073,0.383,0.272,0.000144189,TAC_SPINK4,SETD2
DKC1,7.01E-09,0.320665514,0.482,0.371,0.000219597,TAC_SPINK4,DKC1
RPA1,7.12E-09,0.251410072,0.25,0.155,0.000223042,TAC_SPINK4,RPA1
SLC35B3,7.14E-09,0.253668714,0.328,0.22,0.000223742,TAC_SPINK4,SLC35B3
PTGES3,7.48E-09,0.256569483,0.78,0.682,0.000234404,TAC_SPINK4,PTGES3
TPRKB,7.48E-09,0.279717257,0.505,0.398,0.000234487,TAC_SPINK4,TPRKB
LIN7C,7.64E-09,0.250956009,0.335,0.234,0.000239263,TAC_SPINK4,LIN7C
SLC38A10,7.75E-09,0.254843898,0.399,0.283,0.000242873,TAC_SPINK4,SLC38A10
INTS1,7.95E-09,0.264072156,0.349,0.24,0.000248967,TAC_SPINK4,INTS1
HMGCR,8.26E-09,0.260730605,0.353,0.245,0.000258885,TAC_SPINK4,HMGCR
EI241,8.33E-09,0.262132036,0.603,0.489,0.000260925,TAC_SPINK4,EI24
FAM168B,9.19E-09,0.274721891,0.335,0.232,0.000288071,TAC_SPINK4,FAM168B
SRSF8,1.45E-08,0.269162105,0.427,0.327,0.000453389,TAC_SPINK4,SRSF8
ROCK11,1.47E-08,0.285709957,0.431,0.316,0.000460254,TAC_SPINK4,ROCK1
CYB561,1.86E-08,0.260998303,0.362,0.259,0.000581646,TAC_SPINK4,CYB561
YBX11,2.09E-08,0.29168862,0.899,0.803,0.000654267,TAC_SPINK4,YBX1
RHOBTB32,2.13E-08,0.255226208,0.365,0.264,0.000667729,TAC_SPINK4,RHOBTB3
ANXA5,2.84E-08,0.358160301,0.463,0.369,0.000890083,TAC_SPINK4,ANXA5
ARPC5L,2.95E-08,0.255553591,0.594,0.501,0.000924504,TAC_SPINK4,ARPC5L
TM7SF3,3.20E-08,0.255670919,0.342,0.243,0.001002679,TAC_SPINK4,TM7SF3
CTBP21,3.26E-08,0.298450103,0.541,0.428,0.001020397,TAC_SPINK4,CTBP2
PCGF5,3.53E-08,0.313449187,0.394,0.298,0.001105717,TAC_SPINK4,PCGF5
ZBTB101,3.72E-08,0.255745792,0.31,0.213,0.001165764,TAC_SPINK4,ZBTB10
CDV3,3.88E-08,0.262315464,0.573,0.473,0.001216777,TAC_SPINK4,CDV3
SLC38A11,4.25E-08,0.251311536,0.564,0.448,0.001333087,TAC_SPINK4,SLC38A1
RBBP42,4.37E-08,0.273281858,0.42,0.322,0.001370149,TAC_SPINK4,RBBP4
ACTR23,4.45E-08,0.2792953,0.665,0.584,0.001395147,TAC_SPINK4,ACTR2
LPCAT2,4.90E-08,0.25595374,0.252,0.161,0.001535095,TAC_SPINK4,LPCAT2
NRDC2,4.96E-08,0.266312486,0.413,0.312,0.001553349,TAC_SPINK4,NRDC
SURF4,5.48E-08,0.269022459,0.544,0.449,0.001716401,TAC_SPINK4,SURF4
SRSF91,5.64E-08,0.267283113,0.667,0.591,0.001768392,TAC_SPINK4,SRSF9
PSMG3,6.01E-08,0.276943018,0.475,0.387,0.001884532,TAC_SPINK4,PSMG3
AC020916.13,6.25E-08,0.393126945,0.273,0.175,0.001957655,TAC_SPINK4,AC020916.1
NOP58,6.29E-08,0.266455957,0.495,0.402,0.001971477,TAC_SPINK4,NOP58
GOT11,7.38E-08,0.264238293,0.346,0.247,0.002312057,TAC_SPINK4,GOT1
NSA2,7.64E-08,0.33046304,0.67,0.579,0.002395085,TAC_SPINK4,NSA2
SCARB22,9.77E-08,0.277922349,0.468,0.368,0.003061627,TAC_SPINK4,SCARB2
TMEM106C2,9.79E-08,0.296228754,0.589,0.483,0.003067525,TAC_SPINK4,TMEM106C
PCMT1,9.85E-08,0.252469989,0.486,0.39,0.003085377,TAC_SPINK4,PCMT1
EHF1,1.01E-07,0.258085661,0.548,0.456,0.003175654,TAC_SPINK4,EHF
CDX24,1.15E-07,0.318190383,0.562,0.46,0.003587934,TAC_SPINK4,CDX2
KIF16B2,1.24E-07,0.276211227,0.374,0.269,0.003892193,TAC_SPINK4,KIF16B
CKS1B,1.29E-07,0.284313303,0.456,0.368,0.004032757,TAC_SPINK4,CKS1B
POLD2,1.32E-07,0.294888135,0.482,0.388,0.004132876,TAC_SPINK4,POLD2
SPEN2,1.40E-07,0.26953126,0.422,0.315,0.004387663,TAC_SPINK4,SPEN
DUT,1.48E-07,0.326968238,0.553,0.454,0.004643587,TAC_SPINK4,DUT
SLTM1,1.69E-07,0.304887558,0.56,0.466,0.005283281,TAC_SPINK4,SLTM
DNM1L,2.09E-07,0.267084475,0.344,0.249,0.006546029,TAC_SPINK4,DNM1L
TOPORS,2.09E-07,0.265704981,0.314,0.222,0.006559585,TAC_SPINK4,TOPORS
ASH1L5,2.27E-07,0.315243413,0.516,0.412,0.007122553,TAC_SPINK4,ASH1L
PCCA,2.75E-07,0.521477381,0.3,0.216,0.008620564,TAC_SPINK4,PCCA
ZC3H131,3.01E-07,0.27479681,0.454,0.354,0.009443255,TAC_SPINK4,ZC3H13
ZDHHC12,3.50E-07,0.26058211,0.541,0.46,0.010952351,TAC_SPINK4,ZDHHC12
NOP56,3.62E-07,0.263167481,0.58,0.47,0.011343132,TAC_SPINK4,NOP56
NOL7,3.90E-07,0.278353435,0.599,0.51,0.012206437,TAC_SPINK4,NOL7
LSG1,3.95E-07,0.27043683,0.264,0.179,0.012374839,TAC_SPINK4,LSG1
TMEM33,4.15E-07,0.256410442,0.429,0.335,0.013000199,TAC_SPINK4,TMEM33
SLC35A11,4.80E-07,0.250182427,0.271,0.186,0.015034511,TAC_SPINK4,SLC35A1
UBE2J1,6.12E-07,0.292669724,0.461,0.371,0.019171887,TAC_SPINK4,UBE2J1
VPS51,7.80E-07,0.262144319,0.567,0.469,0.024433501,TAC_SPINK4,VPS51
HK1,9.57E-07,0.26767509,0.282,0.196,0.029983058,TAC_SPINK4,HK1
EID11,1.44E-06,0.294703566,0.509,0.435,0.045035281,TAC_SPINK4,EID1
STARD104,1.61E-06,0.438523295,0.491,0.457,0.050546575,TAC_SPINK4,STARD10
PUS7L,1.71E-06,0.318900674,0.307,0.224,0.053460172,TAC_SPINK4,PUS7L
SMS,1.77E-06,0.257894127,0.596,0.517,0.055396362,TAC_SPINK4,SMS
MMAB,1.83E-06,0.274858327,0.399,0.309,0.057223887,TAC_SPINK4,MMAB
NENF,1.96E-06,0.250008878,0.633,0.549,0.061493406,TAC_SPINK4,NENF
SMARCD2,2.06E-06,0.262372399,0.383,0.301,0.064422341,TAC_SPINK4,SMARCD2
ACYP1,2.16E-06,0.273055625,0.31,0.224,0.067791642,TAC_SPINK4,ACYP1
CCDC61,3.17E-06,0.278457862,0.415,0.331,0.099276953,TAC_SPINK4,CCDC6
IRF2BP21,5.24E-06,0.264742359,0.654,0.564,0.164169008,TAC_SPINK4,IRF2BP2
SPOP,6.25E-06,0.261048224,0.321,0.248,0.195873141,TAC_SPINK4,SPOP
SIVA1,6.51E-06,0.344313151,0.573,0.513,0.203931623,TAC_SPINK4,SIVA1
SETX2,7.62E-06,0.285156625,0.36,0.277,0.238878437,TAC_SPINK4,SETX
SNRNP40,1.13E-05,0.257640495,0.298,0.225,0.35479353,TAC_SPINK4,SNRNP40
SERP1,1.46E-05,0.268277516,0.784,0.71,0.457782922,TAC_SPINK4,SERP1
GGCT,2.95E-05,0.284007984,0.53,0.477,0.924796742,TAC_SPINK4,GGCT
REXO2,4.26E-05,0.251647793,0.484,0.426,1,TAC_SPINK4,REXO2
HSPA1A2,6.36E-05,0.617718456,0.493,0.44,1,TAC_SPINK4,HSPA1A
LMF2,0.000148614,0.254357226,0.284,0.218,1,TAC_SPINK4,LMF2
3-Jun,0.000244707,0.274015955,0.922,0.881,1,TAC_SPINK4,JUN
INTS10,0.00038512,0.252089904,0.298,0.239,1,TAC_SPINK4,INTS10
FOSB2,0.000406165,0.324961002,0.722,0.666,1,TAC_SPINK4,FOSB
ZNF511,0.00171276,0.277372685,0.365,0.331,1,TAC_SPINK4,ZNF511
ARL6IP1,0.002017785,0.340445491,0.534,0.493,1,TAC_SPINK4,ARL6IP1
UBE2C1,0,2.208651136,0.816,0.13,0,TAC_UBE2C,UBE2C
PTTG11,0,1.835627466,0.857,0.185,0,TAC_UBE2C,PTTG1
HMGB21,0,1.821115619,0.952,0.361,0,TAC_UBE2C,HMGB2
TUBA1B1,0,1.662077942,0.982,0.653,0,TAC_UBE2C,TUBA1B
H2AFZ1,0,1.641665616,0.97,0.645,0,TAC_UBE2C,H2AFZ
CENPF1,0,1.629408126,0.759,0.107,0,TAC_UBE2C,CENPF
TOP2A1,0,1.600369009,0.738,0.069,0,TAC_UBE2C,TOP2A
MKI671,0,1.563161578,0.826,0.113,0,TAC_UBE2C,MKI67
CCNB11,0,1.428225144,0.717,0.084,0,TAC_UBE2C,CCNB1
CKS21,0,1.39490843,0.896,0.431,0,TAC_UBE2C,CKS2
BIRC51,0,1.335713201,0.821,0.1,0,TAC_UBE2C,BIRC5
TUBB2,0,1.313561308,0.944,0.508,0,TAC_UBE2C,TUBB
UBE2S1,0,1.305961984,0.835,0.338,0,TAC_UBE2C,UBE2S
CKS1B1,0,1.299181097,0.831,0.325,0,TAC_UBE2C,CKS1B
CDKN31,0,1.281527478,0.745,0.113,0,TAC_UBE2C,CDKN3
CENPW1,0,1.270854065,0.831,0.199,0,TAC_UBE2C,CENPW
HMGB11,0,1.267143085,0.996,0.823,0,TAC_UBE2C,HMGB1
STMN13,0,1.252320506,0.828,0.325,0,TAC_UBE2C,STMN1
TPX21,0,1.252168181,0.786,0.077,0,TAC_UBE2C,TPX2
RANBP11,0,1.214997151,0.927,0.54,0,TAC_UBE2C,RANBP1
CDC201,0,1.192949888,0.704,0.082,0,TAC_UBE2C,CDC20
HMGN22,0,1.183019017,0.864,0.511,0,TAC_UBE2C,HMGN2
MAD2L11,0,1.065276246,0.75,0.122,0,TAC_UBE2C,MAD2L1
ARL6IP11,0,1.040628185,0.818,0.463,0,TAC_UBE2C,ARL6IP1
KIAA0101,0,1.040587339,0.539,0.11,0,TAC_UBE2C,KIAA0101
RAN1,0,1.014283097,0.956,0.65,0,TAC_UBE2C,RAN
DTYMK1,0,1.011620222,0.804,0.226,0,TAC_UBE2C,DTYMK
LDHB,0,0.999082816,0.762,0.417,0,TAC_UBE2C,LDHB
TK11,0,0.988961738,0.734,0.134,0,TAC_UBE2C,TK1
CCNB21,0,0.987215913,0.632,0.084,0,TAC_UBE2C,CCNB2
HN1,0,0.981319518,0.64,0.337,0,TAC_UBE2C,HN1
SMC41,0,0.979179708,0.809,0.222,0,TAC_UBE2C,SMC4
NUCKS11,0,0.978753194,0.934,0.575,0,TAC_UBE2C,NUCKS1
CDK11,0,0.97688669,0.567,0.047,0,TAC_UBE2C,CDK1
SNRPB,0,0.964072221,0.929,0.594,0,TAC_UBE2C,SNRPB
NUSAP11,0,0.958190429,0.64,0.051,0,TAC_UBE2C,NUSAP1
H2AFV2,0,0.956839935,0.896,0.508,0,TAC_UBE2C,H2AFV
KPNA21,0,0.947795789,0.714,0.202,0,TAC_UBE2C,KPNA2
UBE2T1,0,0.930222152,0.697,0.119,0,TAC_UBE2C,UBE2T
HSPD1,0,0.910843166,0.951,0.656,0,TAC_UBE2C,HSPD1
LSM51,0,0.903344138,0.917,0.556,0,TAC_UBE2C,LSM5
TUBA1C,0,0.891256703,0.881,0.514,0,TAC_UBE2C,TUBA1C
ASPM1,0,0.884362099,0.486,0.031,0,TAC_UBE2C,ASPM
RRM21,0,0.876181172,0.556,0.054,0,TAC_UBE2C,RRM2
PCNA1,0,0.873043448,0.717,0.278,0,TAC_UBE2C,PCNA
ATP5G3,0,0.867652063,0.648,0.361,0,TAC_UBE2C,ATP5G3
HMGB32,0,0.863104162,0.795,0.308,0,TAC_UBE2C,HMGB3
DEK1,0,0.851343767,0.912,0.599,0,TAC_UBE2C,DEK
PTMA1,0,0.850650384,1,0.949,0,TAC_UBE2C,PTMA
PLK11,0,0.834677277,0.566,0.036,0,TAC_UBE2C,PLK1
HMMR1,0,0.831103461,0.536,0.034,0,TAC_UBE2C,HMMR
RPA31,0,0.825834393,0.833,0.392,0,TAC_UBE2C,RPA3
LSM41,0,0.820826033,0.899,0.569,0,TAC_UBE2C,LSM4
CCNA21,0,0.802046882,0.603,0.036,0,TAC_UBE2C,CCNA2
NME1,0,0.797695206,0.764,0.399,0,TAC_UBE2C,NME1
CXCL2,0,0.793755734,0.642,0.353,0,TAC_UBE2C,CXCL2
SNRPD11,0,0.792699818,0.89,0.503,0,TAC_UBE2C,SNRPD1
MRPL51,0,0.79061975,0.905,0.579,0,TAC_UBE2C,MRPL51
TUBB4B2,0,0.78988669,0.959,0.727,0,TAC_UBE2C,TUBB4B
HSPE1,0,0.789183126,0.957,0.717,0,TAC_UBE2C,HSPE1
ENO1,0,0.780855157,0.946,0.689,0,TAC_UBE2C,ENO1
FABP51,0,0.777850262,0.825,0.477,0,TAC_UBE2C,FABP5
SNRPG,0,0.771980313,0.931,0.634,0,TAC_UBE2C,SNRPG
PPIA,0,0.768370039,0.892,0.655,0,TAC_UBE2C,PPIA
ZWINT1,0,0.76772545,0.658,0.113,0,TAC_UBE2C,ZWINT
GGCT1,0,0.766360112,0.83,0.444,0,TAC_UBE2C,GGCT
CXCL3,0,0.763005061,0.732,0.415,0,TAC_UBE2C,CXCL3
RAD211,0,0.760577596,0.847,0.447,0,TAC_UBE2C,RAD21
AURKA,0,0.759558732,0.549,0.082,0,TAC_UBE2C,AURKA
PSMA7,0,0.755978168,0.957,0.73,0,TAC_UBE2C,PSMA7
ATP5B,0,0.754412937,0.621,0.329,0,TAC_UBE2C,ATP5B
CXCL1,0,0.747140436,0.616,0.325,0,TAC_UBE2C,CXCL1
AURKB1,0,0.746541883,0.56,0.032,0,TAC_UBE2C,AURKB
SNRPF1,0,0.743927197,0.916,0.586,0,TAC_UBE2C,SNRPF
PTMS2,0,0.741848446,0.872,0.55,0,TAC_UBE2C,PTMS
HMGA1,0,0.739687054,0.919,0.595,0,TAC_UBE2C,HMGA1
CENPE1,0,0.736262344,0.471,0.039,0,TAC_UBE2C,CENPE
IDH22,0,0.733687905,0.826,0.461,0,TAC_UBE2C,IDH2
PA2G4,0,0.726052437,0.843,0.479,0,TAC_UBE2C,PA2G4
KIF20B1,0,0.721168151,0.541,0.08,0,TAC_UBE2C,KIF20B
PLP2,0,0.710315593,0.908,0.58,0,TAC_UBE2C,PLP2
GTSE11,0,0.694580222,0.497,0.03,0,TAC_UBE2C,GTSE1
NPM1,0,0.689822135,0.959,0.707,0,TAC_UBE2C,NPM1
GGH,0,0.689001813,0.804,0.393,0,TAC_UBE2C,GGH
TYMS1,0,0.686842942,0.593,0.106,0,TAC_UBE2C,TYMS
SIVA11,0,0.686138261,0.833,0.483,0,TAC_UBE2C,SIVA1
SMC21,0,0.684184618,0.649,0.139,0,TAC_UBE2C,SMC2
MGST11,0,0.684167476,0.754,0.451,0,TAC_UBE2C,MGST1
CDCA3,0,0.680580995,0.531,0.045,0,TAC_UBE2C,CDCA3
CENPN1,0,0.680332375,0.67,0.146,0,TAC_UBE2C,CENPN
PRDX21,0,0.678905437,0.832,0.539,0,TAC_UBE2C,PRDX2
ATPIF1,0,0.677537315,0.632,0.343,0,TAC_UBE2C,ATPIF1
MYBL21,0,0.675994091,0.534,0.059,0,TAC_UBE2C,MYBL2
MZT2A,0,0.675690871,0.876,0.543,0,TAC_UBE2C,MZT2A
DUT1,0,0.670496595,0.796,0.423,0,TAC_UBE2C,DUT
PRC11,0,0.66917053,0.549,0.048,0,TAC_UBE2C,PRC1
PTGES31,0,0.667404547,0.931,0.659,0,TAC_UBE2C,PTGES3
MZT11,0,0.660233234,0.695,0.237,0,TAC_UBE2C,MZT1
ATP5J2,0,0.659424524,0.655,0.372,0,TAC_UBE2C,ATP5J2
SET2,0,0.659124836,0.923,0.624,0,TAC_UBE2C,SET
ANP32B1,0,0.657706259,0.924,0.605,0,TAC_UBE2C,ANP32B
NCL1,0,0.655902177,0.943,0.665,0,TAC_UBE2C,NCL
ECT21,0,0.655751907,0.606,0.131,0,TAC_UBE2C,ECT2
WDR341,0,0.65218294,0.749,0.311,0,TAC_UBE2C,WDR34
ANLN1,0,0.650061011,0.529,0.049,0,TAC_UBE2C,ANLN
CKAP21,0,0.650014566,0.549,0.095,0,TAC_UBE2C,CKAP2
ATP5L,0,0.645643379,0.662,0.392,0,TAC_UBE2C,ATP5L
LSM31,0,0.645162673,0.859,0.528,0,TAC_UBE2C,LSM3
CBX3,0,0.643380724,0.909,0.556,0,TAC_UBE2C,CBX3
CEP551,0,0.64193696,0.533,0.035,0,TAC_UBE2C,CEP55
HNRNPA11,0,0.641603161,0.943,0.695,0,TAC_UBE2C,HNRNPA1
ATP5G1,0,0.639569331,0.609,0.316,0,TAC_UBE2C,ATP5G1
CACYBP,0,0.636853915,0.831,0.446,0,TAC_UBE2C,CACYBP
LBR1,0,0.636755739,0.761,0.339,0,TAC_UBE2C,LBR
CCDC341,0,0.634785354,0.723,0.247,0,TAC_UBE2C,CCDC34
SAPCD21,0,0.632101466,0.585,0.13,0,TAC_UBE2C,SAPCD2
RHEB,0,0.630738482,0.831,0.487,0,TAC_UBE2C,RHEB
SNRPE1,0,0.627319703,0.882,0.56,0,TAC_UBE2C,SNRPE
EBP,0,0.62580103,0.81,0.45,0,TAC_UBE2C,EBP
ATP5D,0,0.625005688,0.644,0.374,0,TAC_UBE2C,ATP5D
LMNB11,0,0.619992099,0.57,0.11,0,TAC_UBE2C,LMNB1
HNRNPA31,0,0.619775463,0.938,0.648,0,TAC_UBE2C,HNRNPA3
CCT51,0,0.61884675,0.852,0.488,0,TAC_UBE2C,CCT5
PAICS,0,0.61830495,0.737,0.335,0,TAC_UBE2C,PAICS
FBL,0,0.617812404,0.882,0.519,0,TAC_UBE2C,FBL
NUDT11,0,0.615565367,0.738,0.251,0,TAC_UBE2C,NUDT1
TROAP1,0,0.614887493,0.522,0.065,0,TAC_UBE2C,TROAP
SKA21,0,0.613727113,0.666,0.171,0,TAC_UBE2C,SKA2
PBK1,0,0.612793352,0.511,0.032,0,TAC_UBE2C,PBK
CENPA,0,0.61171956,0.463,0.024,0,TAC_UBE2C,CENPA
NAP1L11,0,0.609634315,0.908,0.572,0,TAC_UBE2C,NAP1L1
MCM71,0,0.602404461,0.69,0.249,0,TAC_UBE2C,MCM7
GLO1,0,0.599421387,0.773,0.396,0,TAC_UBE2C,GLO1
HNRNPA2B12,0,0.597435004,0.974,0.769,0,TAC_UBE2C,HNRNPA2B1
CCT21,0,0.594530734,0.829,0.467,0,TAC_UBE2C,CCT2
SHFM1,0,0.589872217,0.653,0.372,0,TAC_UBE2C,SHFM1
POLD21,0,0.588118826,0.747,0.354,0,TAC_UBE2C,POLD2
NDUFAB11,0,0.587515334,0.898,0.585,0,TAC_UBE2C,NDUFAB1
DLGAP51,0,0.586455584,0.416,0.024,0,TAC_UBE2C,DLGAP5
CHCHD2,0,0.58526242,0.979,0.826,0,TAC_UBE2C,CHCHD2
EIF2S2,0,0.585144579,0.913,0.61,0,TAC_UBE2C,EIF2S2
TRMT112,0,0.58373385,0.871,0.555,0,TAC_UBE2C,TRMT112
ANAPC111,0,0.582709269,0.911,0.631,0,TAC_UBE2C,ANAPC11
ERH1,0,0.581114377,0.888,0.579,0,TAC_UBE2C,ERH
HSPA81,0,0.579493778,0.939,0.717,0,TAC_UBE2C,HSPA8
STRA13,0,0.579391464,0.562,0.264,0,TAC_UBE2C,STRA13
CCT6A1,0,0.577923251,0.86,0.524,0,TAC_UBE2C,CCT6A
CSE1L,0,0.577885183,0.674,0.223,0,TAC_UBE2C,CSE1L
PDCD5,0,0.577369876,0.884,0.546,0,TAC_UBE2C,PDCD5
NUF21,0,0.577219885,0.482,0.026,0,TAC_UBE2C,NUF2
AHCY,0,0.5762755,0.804,0.44,0,TAC_UBE2C,AHCY
C20orf24,0,0.576188751,0.581,0.297,0,TAC_UBE2C,C20orf24
LDHA,0,0.57510287,0.94,0.713,0,TAC_UBE2C,LDHA
SUMO21,0,0.574691582,0.821,0.561,0,TAC_UBE2C,SUMO2
PGAM1,0,0.574214235,0.728,0.416,0,TAC_UBE2C,PGAM1
STRAP,0,0.573807155,0.754,0.437,0,TAC_UBE2C,STRAP
TCEB1,0,0.572919957,0.622,0.323,0,TAC_UBE2C,TCEB1
ILF22,0,0.572465561,0.814,0.438,0,TAC_UBE2C,ILF2
PSMA42,0,0.57210159,0.853,0.547,0,TAC_UBE2C,PSMA4
TMPO1,0,0.569266219,0.723,0.262,0,TAC_UBE2C,TMPO
GSTP1,0,0.568005178,0.983,0.832,0,TAC_UBE2C,GSTP1
TOMM40,0,0.567038558,0.777,0.377,0,TAC_UBE2C,TOMM40
ATAD21,0,0.566952707,0.479,0.088,0,TAC_UBE2C,ATAD2
CENPM1,0,0.564542736,0.571,0.114,0,TAC_UBE2C,CENPM
ANP32E1,0,0.562707102,0.642,0.19,0,TAC_UBE2C,ANP32E
HMGN12,0,0.560812522,0.939,0.673,0,TAC_UBE2C,HMGN1
EREG,0,0.560541603,0.528,0.26,0,TAC_UBE2C,EREG
C1QBP1,0,0.560361889,0.834,0.498,0,TAC_UBE2C,C1QBP
GAPDH,0,0.55963778,0.998,0.941,0,TAC_UBE2C,GAPDH
DDX39A1,0,0.555727244,0.763,0.326,0,TAC_UBE2C,DDX39A
ATP5J,0,0.550361919,0.634,0.351,0,TAC_UBE2C,ATP5J
BANF1,0,0.550341597,0.843,0.506,0,TAC_UBE2C,BANF1
PRDX42,0,0.549367628,0.809,0.473,0,TAC_UBE2C,PRDX4
DHFR1,0,0.549161216,0.568,0.134,0,TAC_UBE2C,DHFR
DKC11,0,0.547800507,0.726,0.338,0,TAC_UBE2C,DKC1
CCT71,0,0.547393662,0.814,0.467,0,TAC_UBE2C,CCT7
FOXM11,0,0.547194553,0.537,0.049,0,TAC_UBE2C,FOXM1
YBX12,0,0.545151723,0.976,0.787,0,TAC_UBE2C,YBX1
PKM,0,0.5441189,0.943,0.674,0,TAC_UBE2C,PKM
ATP5O,0,0.544078797,0.632,0.347,0,TAC_UBE2C,ATP5O
ATP5A1,0,0.543418953,0.54,0.264,0,TAC_UBE2C,ATP5A1
DBI1,0,0.540853886,0.949,0.728,0,TAC_UBE2C,DBI
CDK4,0,0.538080185,0.71,0.35,0,TAC_UBE2C,CDK4
ARHGAP11A1,0,0.537088381,0.447,0.033,0,TAC_UBE2C,ARHGAP11A
EIF1AX,0,0.536790601,0.861,0.543,0,TAC_UBE2C,EIF1AX
TFDP11,0,0.53611083,0.671,0.263,0,TAC_UBE2C,TFDP1
KIF4A1,0,0.535800481,0.429,0.026,0,TAC_UBE2C,KIF4A
BUB31,0,0.535721422,0.744,0.33,0,TAC_UBE2C,BUB3
COX8A,0,0.533943563,0.869,0.646,0,TAC_UBE2C,COX8A
ATP5H,0,0.533856268,0.628,0.338,0,TAC_UBE2C,ATP5H
RRM11,0,0.53307379,0.574,0.14,0,TAC_UBE2C,RRM1
NHP2,0,0.532777766,0.875,0.537,0,TAC_UBE2C,NHP2
TPI1,0,0.529113669,0.973,0.82,0,TAC_UBE2C,TPI1
CCT4,0,0.529026694,0.839,0.487,0,TAC_UBE2C,CCT4
CNIH4,0,0.526169752,0.75,0.415,0,TAC_UBE2C,CNIH4
SMC1A1,0,0.525485599,0.623,0.256,0,TAC_UBE2C,SMC1A
SRSF31,0,0.524321454,0.939,0.679,0,TAC_UBE2C,SRSF3
LSM2,0,0.522268323,0.797,0.43,0,TAC_UBE2C,LSM2
CDT11,0,0.519770837,0.517,0.098,0,TAC_UBE2C,CDT1
PPM1G1,0,0.518476946,0.827,0.459,0,TAC_UBE2C,PPM1G
GAL,0,0.517590974,0.415,0.131,0,TAC_UBE2C,GAL
TACC31,0,0.516744876,0.47,0.045,0,TAC_UBE2C,TACC3
EIF5A1,0,0.516336474,0.878,0.58,0,TAC_UBE2C,EIF5A
ATP5C1,0,0.516079109,0.588,0.313,0,TAC_UBE2C,ATP5C1
PSMB3,0,0.515594509,0.872,0.572,0,TAC_UBE2C,PSMB3
CENPK1,0,0.515143839,0.532,0.078,0,TAC_UBE2C,CENPK
BRCA21,0,0.514717814,0.333,0.048,0,TAC_UBE2C,BRCA2
SNRNP251,0,0.514618794,0.659,0.233,0,TAC_UBE2C,SNRNP25
RAD51AP11,0,0.514167757,0.479,0.05,0,TAC_UBE2C,RAD51AP1
DNMT11,0,0.512708533,0.627,0.197,0,TAC_UBE2C,DNMT1
POLR2K1,0,0.512381964,0.825,0.505,0,TAC_UBE2C,POLR2K
HIST1H4C3,0,0.509843494,0.8,0.542,0,TAC_UBE2C,HIST1H4C
PRKDC1,0,0.508365457,0.69,0.34,0,TAC_UBE2C,PRKDC
FDPS,0,0.507496334,0.816,0.475,0,TAC_UBE2C,FDPS
SSBP1,0,0.506970156,0.873,0.569,0,TAC_UBE2C,SSBP1
C20orf27,0,0.506512735,0.642,0.284,0,TAC_UBE2C,C20orf27
CKAP51,0,0.505334227,0.529,0.144,0,TAC_UBE2C,CKAP5
PSMB2,0,0.504638153,0.799,0.461,0,TAC_UBE2C,PSMB2
C19orf43,0,0.501680309,0.624,0.345,0,TAC_UBE2C,C19orf43
HSP90AB1,0,0.500434146,0.977,0.807,0,TAC_UBE2C,HSP90AB1
SSRP1,0,0.499000483,0.754,0.368,0,TAC_UBE2C,SSRP1
RPSA,0,0.497813184,0.984,0.808,0,TAC_UBE2C,RPSA
ATP5F1,0,0.496939312,0.566,0.282,0,TAC_UBE2C,ATP5F1
YWHAQ1,0,0.496747897,0.882,0.573,0,TAC_UBE2C,YWHAQ
PHB,0,0.494049081,0.866,0.559,0,TAC_UBE2C,PHB
HNRNPD2,0,0.493068597,0.823,0.478,0,TAC_UBE2C,HNRNPD
CDCA81,0,0.49238508,0.445,0.044,0,TAC_UBE2C,CDCA8
TAGLN21,0,0.490698902,0.942,0.686,0,TAC_UBE2C,TAGLN2
SPC25,0,0.489688088,0.445,0.021,0,TAC_UBE2C,SPC25
LYAR,0,0.489081189,0.607,0.226,0,TAC_UBE2C,LYAR
SRP92,0,0.488062619,0.876,0.572,0,TAC_UBE2C,SRP9
